,_id,_score,cluster,entrezgene,name,notfound,symbol,taxid
ARHGDIB,100155466,57.35973,1,100155466,Rho GDP dissociation inhibitor beta,,ARHGDIB,9823.0
ARHGEF12,100523324,55.707855,1,100523324,Rho guanine nucleotide exchange factor 12,,ARHGEF12,9823.0
ARHGEF2,100145887,55.67479,1,100145887,Rho/Rac guanine nucleotide exchange factor 2,,ARHGEF2,9823.0
ARID2,100625757,55.56704,1,100625757,AT-rich interaction domain 2,,ARID2,9823.0
ARID5B,100622249,55.84388,1,100622249,AT-rich interaction domain 5B,,ARID5B,9823.0
ARPC2,100153175,55.36389,1,100153175,actin related protein 2/3 complex subunit 2,,ARPC2,9823.0
ARPC5,100174965,56.403755,1,100174965,actin related protein 2/3 complex subunit 5,,ARPC5,9823.0
ARRDC3,100520233,55.733456,1,100520233,arrestin domain containing 3,,ARRDC3,9823.0
ARSK,100627205,53.86702,1,100627205,arylsulfatase family member K,,ARSK,9823.0
ASXL3,100518495,57.138325,1,100518495,ASXL transcriptional regulator 3,,ASXL3,9823.0
ATF6,100158076,55.008606,1,100158076,activating transcription factor 6,,ATF6,9823.0
ATF7IP,100513013,55.644154,1,100513013,activating transcription factor 7 interacting protein,,ATF7IP,9823.0
ATOH7,100624800,55.516773,1,100624800,atonal bHLH transcription factor 7,,ATOH7,9823.0
ATP2A2,396875,57.926693,1,396875,ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2,,ATP2A2,9823.0
ATP5MC3,100513629,57.23968,1,100513629,ATP synthase membrane subunit c locus 3,,ATP5MC3,9823.0
ATP6V0E1,733646,56.227337,1,733646,ATPase H+ transporting V0 subunit e1,,ATP6V0E1,9823.0
AZI2,100524397,55.911644,1,100524397,5-azacytidine induced 2,,AZI2,9823.0
B4GALT3,100154856,56.77401,1,100154856,"beta-1,4-galactosyltransferase 3",,B4GALT3,9823.0
BACH1,100523514,57.746796,1,100523514,BTB domain and CNC homolog 1,,BACH1,9823.0
BBS10,100737698,55.807858,1,100737698,Bardet-Biedl syndrome 10,,BBS10,9823.0
BCL2L1,397536,56.254192,1,397536,BCL2 like 1,,BCL2L1,9823.0
BCL9,100155378,55.220825,1,100155378,BCL9 transcription coactivator,,BCL9,9823.0
BHLHE40,100514873,55.78174,1,100514873,basic helix-loop-helix family member e40,,BHLHE40,9823.0
BHLHE41,100626912,55.97687,1,100626912,basic helix-loop-helix family member e41,,BHLHE41,9823.0
BICC1,100154253,54.6893,1,100154253,BicC family RNA binding protein 1,,BICC1,9823.0
BIRC3,100622590,61.638,1,100622590,baculoviral IAP repeat containing 3,,BIRC3,9823.0
BLOC1S4,100621576,58.19604,1,100621576,biogenesis of lysosomal organelles complex 1 subunit 4,,BLOC1S4,9823.0
BNC2,100513064,55.235096,1,100513064,basonuclin 2,,BNC2,9823.0
BPGM,106506774,55.27246,1,106506774,bisphosphoglycerate mutase,,BPGM,9823.0
BRD2,100141307,56.797787,1,100141307,bromodomain containing 2,,BRD2,9823.0
BRK1,100522899,57.33116,1,100522899,BRICK1 subunit of SCAR/WAVE actin nucleating complex,,BRK1,9823.0
BTF3,100514824,55.157238,1,100514824,basic transcription factor 3,,BTF3,9823.0
BTG3,100048957,56.325294,1,100048957,BTG anti-proliferation factor 3,,BTG3,9823.0
CALD1,100524227,56.275543,1,100524227,caldesmon 1,,CALD1,9823.0
CALM1,100154056,55.35945,1,100154056,calmodulin 1,,CALM1,9823.0
CALR,100381266,56.714027,1,100381266,calreticulin,,CALR,9823.0
CALU,397301,55.87973,1,397301,calumenin,,CALU,9823.0
CAND1,100514460,54.379326,1,100514460,cullin associated and neddylation dissociated 1,,CAND1,9823.0
CAP1,100621359,55.44991,1,100621359,cyclase associated actin cytoskeleton regulatory protein 1,,CAP1,9823.0
CAPZA2,100037958,53.708706,1,100037958,capping actin protein of muscle Z-line subunit alpha 2,,CAPZA2,9823.0
CARNMT1,100518712,55.873444,1,100518712,carnosine N-methyltransferase 1,,CARNMT1,9823.0
CASP3,397244,57.64865,1,397244,caspase 3,,CASP3,9823.0
CAV1,404693,55.36499,1,404693,caveolin 1,,CAV1,9823.0
CAV2,100125375,58.06953,1,100125375,caveolin 2,,CAV2,9823.0
CAVIN1,106505427,57.506714,1,106505427,caveolae associated protein 1,,CAVIN1,9823.0
CBLB,100621690,53.920006,1,100621690,Cbl proto-oncogene B,,CBLB,9823.0
CBLL1,100623482,56.750237,1,100623482,Cbl proto-oncogene like 1,,CBLL1,9823.0
CCDC107,100153992,56.454796,1,100153992,coiled-coil domain containing 107,,CCDC107,9823.0
CCDC14,100625259,57.03426,1,100625259,coiled-coil domain containing 14,,CCDC14,9823.0
CCDC28B,110261132,55.62466,1,110261132,coiled-coil domain containing 28B,,CCDC28B,9823.0
CCDC34,100518823,56.86772,1,100518823,coiled-coil domain containing 34,,CCDC34,9823.0
CCDC80,100516578,56.797787,1,100516578,coiled-coil domain containing 80,,CCDC80,9823.0
CCDC82,100518852,56.936222,1,100518852,coiled-coil domain containing 82,,CCDC82,9823.0
CCDC85B,100525383,58.909573,1,100525383,coiled-coil domain containing 85B,,CCDC85B,9823.0
CCDC89,100519041,56.227337,1,100519041,coiled-coil domain containing 89,,CCDC89,9823.0
CCDC90B,100518207,56.48994,1,100518207,coiled-coil domain containing 90B,,CCDC90B,9823.0
CCN1,100153791,55.13001,1,100153791,cellular communication network factor 1,,CCN1,9823.0
CCN2,100152141,55.264378,1,100152141,cellular communication network factor 2,,CCN2,9823.0
CCNG1,595110,55.97761,1,595110,cyclin G1,,CCNG1,9823.0
CCNH,100310796,54.865414,1,100310796,cyclin H,,CCNH,9823.0
CCT8,100623886,55.29342,1,100623886,chaperonin containing TCP1 subunit 8,,CCT8,9823.0
CD164,100152548,57.796017,1,100152548,CD164 molecule,,CD164,9823.0
CD96,100627543,57.293514,1,100627543,CD96 molecule,,CD96,9823.0
CDC37L1,100522234,56.468117,1,100522234,cell division cycle 37 like 1,,CDC37L1,9823.0
CDC42EP3,100521443,55.91804,1,100521443,CDC42 effector protein 3,,CDC42EP3,9823.0
CDH11,100525579,55.924095,1,100525579,cadherin 11,,CDH11,9823.0
CDH2,100515322,56.17807,1,100515322,cadherin 2,,CDH2,9823.0
CDH6,100627510,55.5154,1,100627510,cadherin 6,,CDH6,9823.0
CDK14,100515962,54.958706,1,100515962,cyclin dependent kinase 14,,CDK14,9823.0
CDK6,100518921,56.275543,1,100518921,cyclin dependent kinase 6,,CDK6,9823.0
CDKN1B,397584,55.909904,1,397584,cyclin dependent kinase inhibitor 1B,,CDKN1B,9823.0
CDKN2AIP,100513762,56.714027,1,100513762,CDKN2A interacting protein,,CDKN2AIP,9823.0
CDKN2B,397227,59.38196,1,397227,cyclin dependent kinase inhibitor 2B,,CDKN2B,9823.0
CDKN2C,100515210,55.68317,1,100515210,cyclin dependent kinase inhibitor 2C,,CDKN2C,9823.0
CEBPB,397360,59.08314,1,397360,CCAAT enhancer binding protein beta,,CEBPB,9823.0
CEBPD,100153946,57.63688,1,100153946,CCAAT enhancer binding protein delta,,CEBPD,9823.0
CEP295,100738450,55.815998,1,100738450,centrosomal protein 295,,CEP295,9823.0
CFAP126,100621973,55.668434,1,100621973,cilia and flagella associated protein 126,,CFAP126,9823.0
CFAP69,100622715,56.746864,1,100622715,cilia and flagella associated protein 69,,CFAP69,9823.0
CFL2,497233,56.797874,1,497233,cofilin 2,,CFL2,9823.0
CGGBP1,110256454,56.370872,1,110256454,CGG triplet repeat binding protein 1,,CGGBP1,9823.0
CHCHD1,100153416,54.068226,1,100153416,coiled-coil-helix-coiled-coil-helix domain containing 1,,CHCHD1,9823.0
CHD8,100156733,57.862133,1,100156733,chromodomain helicase DNA binding protein 8,,CHD8,9823.0
CHD9,110260954,56.376,1,110260954,chromodomain helicase DNA binding protein 9,,CHD9,9823.0
CHIC2,100524031,55.737236,1,100524031,cysteine rich hydrophobic domain 2,,CHIC2,9823.0
CHRAC1,100519089,54.708946,1,100519089,chromatin accessibility complex subunit 1,,CHRAC1,9823.0
CHSY1,100520288,55.183174,1,100520288,chondroitin sulfate synthase 1,,CHSY1,9823.0
CISD2,100524158,54.066006,1,100524158,CDGSH iron sulfur domain 2,,CISD2,9823.0
CITED2,100156022,57.90193,1,100156022,Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 2,,CITED2,9823.0
CKAP2,100515274,57.089203,1,100515274,cytoskeleton associated protein 2,,CKAP2,9823.0
CKS2,100520933,59.10935,1,100520933,CDC28 protein kinase regulatory subunit 2,,CKS2,9823.0
CLDN1,100625166,58.60422,1,100625166,claudin 1,,CLDN1,9823.0
CLIC4,100622787,54.759193,1,100622787,chloride intracellular channel 4,,CLIC4,9823.0
CLINT1,100522525,54.932346,1,100522525,clathrin interactor 1,,CLINT1,9823.0
CLK1,100141471,56.9694,1,100141471,CDC like kinase 1,,CLK1,9823.0
CLK4,100521252,57.13144,1,100521252,CDC like kinase 4,,CLK4,9823.0
CLPX,100151784,50.13424,1,100151784,caseinolytic mitochondrial matrix peptidase chaperone subunit X,,CLPX,9823.0
CLTC,100271929,56.51815,1,100271929,clathrin heavy chain,,CLTC,9823.0
CNBP,100312965,56.84787,1,100312965,CCHC-type zinc finger nucleic acid binding protein,,CNBP,9823.0
CNIH1,100154949,56.455273,1,100154949,cornichon family AMPA receptor auxiliary protein 1,,CNIH1,9823.0
CNOT2,100153354,55.7714,1,100153354,CCR4-NOT transcription complex subunit 2,,CNOT2,9823.0
CNOT7,100154442,56.264378,1,100154442,CCR4-NOT transcription complex subunit 7,,CNOT7,9823.0
COL10A1,448809,56.62781,1,448809,collagen type X alpha 1 chain,,COL10A1,9823.0
COL15A1,100620394,57.01282,1,100620394,collagen type XV alpha 1 chain,,COL15A1,9823.0
COL1A1,100738123,58.041275,1,100738123,collagen type I alpha 1 chain,,COL1A1,9823.0
COL1A2,100626716,54.916412,1,100626716,collagen type I alpha 2 chain,,COL1A2,9823.0
COL3A1,100152001,57.33116,1,100152001,collagen type III alpha 1 chain,,COL3A1,9823.0
COL5A2,397532,56.798214,1,397532,collagen type V alpha 2 chain,,COL5A2,9823.0
COL8A1,397430,56.78104,1,397430,collagen type VIII alpha 1 chain,,COL8A1,9823.0
COMMD3,102167371,54.6283,1,102167371,COMM domain containing 3,,COMMD3,9823.0
COP1,100520856,55.222607,1,100520856,COP1 E3 ubiquitin ligase,,COP1,9823.0
COPS2,100125956,54.5491,1,100125956,COP9 signalosome subunit 2,,COPS2,9823.0
CORO1C,100156622,57.612923,1,100156622,coronin 1C,,CORO1C,9823.0
COX7C,100037990,62.34621,1,100037990,cytochrome c oxidase subunit VIIc,,COX7C,9823.0
CPEB2,100462674,56.55661,1,100462674,cytoplasmic polyadenylation element binding protein 2,,CPEB2,9823.0
CPEB4,100521758,56.94171,1,100521758,cytoplasmic polyadenylation element binding protein 4,,CPEB4,9823.0
CPED1,100511847,56.44049,1,100511847,cadherin like and PC-esterase domain containing 1,,CPED1,9823.0
CPOX,100511474,54.92102,1,100511474,coproporphyrinogen oxidase,,CPOX,9823.0
CPSF6,100152191,55.27153,1,100152191,cleavage and polyadenylation specific factor 6,,CPSF6,9823.0
CREB1,100736562,56.96305,1,100736562,cAMP responsive element binding protein 1,,CREB1,9823.0
CREBZF,100518742,56.972237,1,100518742,CREB/ATF bZIP transcription factor,,CREBZF,9823.0
CREG1,100152373,56.556778,1,100152373,cellular repressor of E1A stimulated genes 1,,CREG1,9823.0
CRIM1,100525394,57.092987,1,100525394,cysteine rich transmembrane BMP regulator 1,,CRIM1,9823.0
CRK,100192444,55.90442,1,100192444,"CRK proto-oncogene, adaptor protein",,CRK,9823.0
CRYAB,100519789,55.062897,1,100519789,crystallin alpha B,,CRYAB,9823.0
CST3,733672,58.193607,1,733672,cystatin C,,CST3,9823.0
CSTF2T,100157243,57.577827,1,100157243,cleavage stimulation factor subunit 2 tau variant,,CSTF2T,9823.0
CTSC,100522387,55.357315,1,100522387,cathepsin C,,CTSC,9823.0
CTSO,100737564,56.02858,1,100737564,cathepsin O,,CTSO,9823.0
CTTNBP2NL,100520738,56.119503,1,100520738,CTTNBP2 N-terminal like,,CTTNBP2NL,9823.0
CUL3,100511787,55.543938,1,100511787,cullin 3,,CUL3,9823.0
CUTA,100152220,55.946884,1,100152220,cutA divalent cation tolerance homolog,,CUTA,9823.0
CXCL2,414904,65.96046,1,414904,chemokine (C-X-C motif) ligand 2,,CXCL2,9823.0
CXCL8,396880,61.576313,1,396880,C-X-C motif chemokine ligand 8,,CXCL8,9823.0
CYTIP,100627882,54.91737,1,100627882,cytohesin 1 interacting protein,,CYTIP,9823.0
DCAF5,100154936,55.372562,1,100154936,DDB1 and CUL4 associated factor 5,,DCAF5,9823.0
DCBLD2,106504106,55.29365,1,106504106,"discoidin, CUB and LCCL domain containing 2",,DCBLD2,9823.0
DCTN6,100312966,53.93677,1,100312966,dynactin subunit 6,,DCTN6,9823.0
DCUN1D5,100522200,55.20071,1,100522200,defective in cullin neddylation 1 domain containing 5,,DCUN1D5,9823.0
DDAH2,110261496,57.44123,1,110261496,dimethylarginine dimethylaminohydrolase 2,,DDAH2,9823.0
DDHD1,100518289,56.357002,1,100518289,DDHD domain containing 1,,DDHD1,9823.0
DDIT3,100240743,56.82656,1,100240743,DNA damage inducible transcript 3,,DDIT3,9823.0
DDIT4,100153821,55.924095,1,100153821,DNA damage inducible transcript 4,,DDIT4,9823.0
DDX17,100514347,55.085632,1,100514347,DEAD-box helicase 17,,DDX17,9823.0
DDX6,100515499,55.45533,1,100515499,DEAD-box helicase 6,,DDX6,9823.0
DENR,100156971,55.69531,1,100156971,density regulated re-initiation and release factor,,DENR,9823.0
DIMT1,100625553,55.73765,1,100625553,DIMT1 rRNA methyltransferase and ribosome maturation factor,,DIMT1,9823.0
DIPK2A,100517858,55.64712,1,100517858,divergent protein kinase domain 2A,,DIPK2A,9823.0
DLD,397129,55.260582,1,397129,dihydrolipoamide dehydrogenase,,DLD,9823.0
DLX2,100523029,56.346394,1,100523029,distal-less homeobox 2,,DLX2,9823.0
DMAC2L,100157404,54.75856,1,100157404,distal membrane arm assembly complex 2 like,,DMAC2L,9823.0
DNAJB4,100525703,55.55031,1,100525703,DnaJ heat shock protein family (Hsp40) member B4,,DNAJB4,9823.0
DPH5,100157715,56.26234,1,100157715,diphthamide biosynthesis 5,,DPH5,9823.0
DR1,100152776,54.4432,1,100152776,down-regulator of transcription 1,,DR1,9823.0
DSTN,445516,55.8863,1,445516,"destrin, actin depolymerizing factor",,DSTN,9823.0
DTWD1,100153076,55.6416,1,100153076,DTW domain containing 1,,DTWD1,9823.0
DUSP1,100522469,56.021515,1,100522469,dual specificity phosphatase 1,,DUSP1,9823.0
DUSP12,100156895,59.14829,1,100156895,dual specificity phosphatase 12,,DUSP12,9823.0
DUSP5,100157144,54.26522,1,100157144,dual specificity phosphatase 5,,DUSP5,9823.0
DUSP6,100622968,56.454796,1,100622968,dual specificity phosphatase 6,,DUSP6,9823.0
DUT,100621123,53.73404,1,100621123,deoxyuridine triphosphatase,,DUT,9823.0
DYDC2,100525130,60.693775,1,100525130,DPY30 domain containing 2,,DYDC2,9823.0
DYNC1I2,100154566,57.244514,1,100154566,dynein cytoplasmic 1 intermediate chain 2,,DYNC1I2,9823.0
DYNLL1,100157773,57.78395,1,100157773,dynein light chain LC8-type 1,,DYNLL1,9823.0
DYRK2,100515779,52.744164,1,100515779,dual specificity tyrosine phosphorylation regulated kinase 2,,DYRK2,9823.0
EED,100521029,56.39259,1,100521029,embryonic ectoderm development,,EED,9823.0
EEF1B2,100154920,55.83368,1,100154920,eukaryotic translation elongation factor 1 beta 2,,EEF1B2,9823.0
EIF1,100736981,57.897934,1,100736981,eukaryotic translation initiation factor 1,,EIF1,9823.0
EIF1B,414417,57.425114,1,414417,eukaryotic translation initiation factor 1B,,EIF1B,9823.0
EIF2B4,100736566,54.068226,1,100736566,eukaryotic translation initiation factor 2B subunit delta,,EIF2B4,9823.0
EIF2S2,100621044,56.429108,1,100621044,eukaryotic translation initiation factor 2 subunit beta,,EIF2S2,9823.0
EIF3A,100156570,56.213783,1,100156570,eukaryotic translation initiation factor 3 subunit A,,EIF3A,9823.0
EIF3E,100156671,54.74937,1,100156671,eukaryotic translation initiation factor 3 subunit E,,EIF3E,9823.0
EIF4A2,100101928,56.73353,1,100101928,eukaryotic translation initiation factor 4A2,,EIF4A2,9823.0
ENSA,397361,56.492546,1,397361,endosulfine alpha,,ENSA,9823.0
ENY2,100153859,54.298477,1,100153859,ENY2 transcription and export complex 2 subunit,,ENY2,9823.0
EPB41L2,100524836,53.713806,1,100524836,erythrocyte membrane protein band 4.1 like 2,,EPB41L2,9823.0
EPDR1,100521143,56.8396,1,100521143,ependymin related 1,,EPDR1,9823.0
EPM2AIP1,100625707,59.71997,1,100625707,EPM2A interacting protein 1,,EPM2AIP1,9823.0
ERBIN,100511418,55.143524,1,100511418,erbb2 interacting protein,,ERBIN,9823.0
EREG,100620969,55.83845,1,100620969,epiregulin,,EREG,9823.0
ERMN,100627261,57.16644,1,100627261,ermin,,ERMN,9823.0
ETAA1,100622990,54.44065,1,100622990,ETAA1 activator of ATR kinase,,ETAA1,9823.0
ETF1,100520896,55.611492,1,100520896,eukaryotic translation termination factor 1,,ETF1,9823.0
ETFRF1,100517943,56.15606,1,100517943,electron transfer flavoprotein regulatory factor 1,,ETFRF1,9823.0
ETNK1,110260724,55.23755,1,110260724,ethanolamine kinase 1,,ETNK1,9823.0
EXOC5,100513903,56.84787,1,100513903,exocyst complex component 5,,EXOC5,9823.0
FAM126A,100620255,56.52453,1,100620255,family with sequence similarity 126 member A,,FAM126A,9823.0
FAM177A1,100155589,53.69706,1,100155589,family with sequence similarity 177 member A1,,FAM177A1,9823.0
FAM8A1,100154793,57.560272,1,100154793,family with sequence similarity 8 member A1,,FAM8A1,9823.0
FAM92A,100515202,55.38914,1,100515202,family with sequence similarity 92 member A,,FAM92A,9823.0
FANCF,100519701,55.20071,1,100519701,FA complementation group F,,FANCF,9823.0
FBN1,414836,56.26921,1,414836,fibrillin 1,,FBN1,9823.0
FBXL14,102158589,58.257652,1,102158589,F-box and leucine rich repeat protein 14,,FBXL14,9823.0
FBXL20,100517553,56.5798,1,100517553,F-box and leucine rich repeat protein 20,,FBXL20,9823.0
FBXL3,100152980,55.14652,1,100152980,F-box and leucine rich repeat protein 3,,FBXL3,9823.0
FBXO28,100520046,56.090286,1,100520046,F-box protein 28,,FBXO28,9823.0
FEM1B,100158096,56.2393,1,100158096,fem-1 homolog B,,FEM1B,9823.0
FERMT2,100517989,55.021152,1,100517989,fermitin family member 2,,FERMT2,9823.0
FEZ2,100525742,57.55558,1,100525742,fasciculation and elongation protein zeta 2,,FEZ2,9823.0
FHL3,396986,56.803783,1,396986,four and a half LIM domains 3,,FHL3,9823.0
FIBIN,100620302,57.637703,1,100620302,fin bud initiation factor homolog,,FIBIN,9823.0
FJX1,100626682,56.423744,1,100626682,four-jointed box kinase 1,,FJX1,9823.0
FKBP14,100514551,54.959,1,100514551,FKBP prolyl isomerase 14,,FKBP14,9823.0
FLNB,100514491,55.86431,1,100514491,filamin B,,FLNB,9823.0
FLRT3,100158214,54.394043,1,100158214,fibronectin leucine rich transmembrane protein 3,,FLRT3,9823.0
FMOD,100526237,56.02221,1,100526237,fibromodulin,,FMOD,9823.0
FN1,397620,56.370476,1,397620,fibronectin 1,,FN1,9823.0
FNBP4,100526033,55.829853,1,100526033,formin binding protein 4,,FNBP4,9823.0
FNDC3B,100153395,54.91228,1,100153395,fibronectin type III domain containing 3B,,FNDC3B,9823.0
FOSL1,100525205,55.54425,1,100525205,"FOS like 1, AP-1 transcription factor subunit",,FOSL1,9823.0
FOXO1,397077,56.536972,1,397077,forkhead box O1,,FOXO1,9823.0
FPGT,100513664,55.419315,1,100513664,fucose-1-phosphate guanylyltransferase,,FPGT,9823.0
FRMD6,100157790,54.28436,1,100157790,FERM domain containing 6,,FRMD6,9823.0
FSTL1,110256417,56.618378,1,110256417,follistatin like 1,,FSTL1,9823.0
FTL,397035,58.523716,1,397035,ferritin light chain,,FTL,9823.0
FUBP1,100525995,55.9405,1,100525995,far upstream element binding protein 1,,FUBP1,9823.0
FUT11,100157040,55.547157,1,100157040,fucosyltransferase 11,,FUT11,9823.0
FZD6,100157360,54.14743,1,100157360,frizzled class receptor 6,,FZD6,9823.0
GADD45A,733669,58.045353,1,733669,growth arrest and DNA damage inducible alpha,,GADD45A,9823.0
GADD45B,100621090,56.325294,1,100621090,growth arrest and DNA damage inducible beta,,GADD45B,9823.0
GADD45G,100152997,58.860535,1,100152997,growth arrest and DNA damage inducible gamma,,GADD45G,9823.0
GAPDH,396823,54.86209,1,396823,glyceraldehyde-3-phosphate dehydrogenase,,GAPDH,9823.0
GDF15,100379630,56.258694,1,100379630,growth differentiation factor 15,,GDF15,9823.0
GJA1,100518636,57.426945,1,100518636,gap junction protein alpha 1,,GJA1,9823.0
GJA9,110261155,57.86806,1,110261155,gap junction protein alpha 9,,GJA9,9823.0
GJC1,100048959,56.48075,1,100048959,gap junction protein gamma 1,,GJC1,9823.0
GKN1,100502561,58.212578,1,100502561,gastrokine 1,,GKN1,9823.0
GLS,399525,55.457214,1,399525,glutaminase,,GLS,9823.0
GLTPD2,100513110,60.53779,1,100513110,glycolipid transfer protein domain containing 2,,GLTPD2,9823.0
GLUD1,100157162,54.257084,1,100157162,glutamate dehydrogenase 1,,GLUD1,9823.0
GNAI1,100144419,55.63709,1,100144419,G protein subunit alpha i1,,GNAI1,9823.0
GNAT3,100511528,59.33988,1,100511528,G protein subunit alpha transducin 3,,GNAT3,9823.0
GNPNAT1,100152942,56.901123,1,100152942,glucosamine-phosphate N-acetyltransferase 1,,GNPNAT1,9823.0
GORAB,100738993,55.946556,1,100738993,"golgin, RAB6 interacting",,GORAB,9823.0
GPR15,100153787,58.195854,1,100153787,G protein-coupled receptor 15,,GPR15,9823.0
GPR18,100153378,56.82656,1,100153378,G protein-coupled receptor 18,,GPR18,9823.0
GPR22,100519967,56.431488,1,100519967,G protein-coupled receptor 22,,GPR22,9823.0
GPX1,397403,56.17807,1,397403,glutathione peroxidase 1,,GPX1,9823.0
GPX8,100519691,55.060543,1,100519691,glutathione peroxidase 8 (putative),,GPX8,9823.0
GSK3B,100126852,56.748405,1,100126852,glycogen synthase kinase 3 beta,,GSK3B,9823.0
GSTO1,397117,56.777977,1,397117,glutathione S-transferase omega 1,,GSTO1,9823.0
GTDC1,100152895,54.959763,1,100152895,glycosyltransferase like domain containing 1,,GTDC1,9823.0
GUCY1A1,553100,54.21928,1,553100,guanylate cyclase 1 soluble subunit alpha 1,,GUCY1A1,9823.0
GUF1,100516681,55.677685,1,100516681,"GUF1 homolog, GTPase",,GUF1,9823.0
GULP1,100621868,55.060543,1,100621868,GULP PTB domain containing engulfment adaptor 1,,GULP1,9823.0
H2AFZ,100141311,65.99189,1,100141311,"H2A histone family, member Z",,H2AFZ,9823.0
HBP1,100519099,54.840527,1,100519099,HMG-box transcription factor 1,,HBP1,9823.0
HCFC1R1,100736616,58.030136,1,100736616,host cell factor C1 regulator 1,,HCFC1R1,9823.0
HDAC9,100523163,55.34893,1,100523163,histone deacetylase 9,,HDAC9,9823.0
HDGF,100153512,57.40151,1,100153512,heparin binding growth factor,,HDGF,9823.0
HELZ,100524104,54.386955,1,100524104,helicase with zinc finger,,HELZ,9823.0
HEY1,100157952,55.36274,1,100157952,hes related family bHLH transcription factor with YRPW motif 1,,HEY1,9823.0
HEY2,100152404,54.8351,1,100152404,hes related family bHLH transcription factor with YRPW motif 2,,HEY2,9823.0
HGF,100525120,55.83643,1,100525120,hepatocyte growth factor,,HGF,9823.0
